Rzeszow Krakow 22 5
Rzeszow Krakow 5 3
Rzeszow Krakow 17 2
Rzeszow Krakow 22 5
Rzeszow Warszawa 21 3
Rzeszow Warszawa 17 3
Rzeszow Warszawa 7 3
Rzeszow Warszawa 11 1
Rzeszow Gdansk 10 2
Rzeszow Poznan 2 3
Rzeszow Poznan 1 3
Rzeszow Poznan 5 2
Rzeszow Poznan 20 2
Rzeszow Soncz 20 4
Rzeszow Soncz 2 3
Rzeszow Soncz 8 5
Rzeszow Soncz 5 5
Rzeszow Wroclaw 10 3
Rzeszow Wroclaw 16 4
Rzeszow Wroclaw 4 1
Krakow Rzeszow 22 1
Krakow Rzeszow 6 1
Krakow Rzeszow 8 1
Krakow Warszawa 20 2
Krakow Warszawa 8 3
Krakow Warszawa 10 1
Krakow Warszawa 5 5
Krakow Gdansk 23 4
Krakow Gdansk 11 3
Krakow Gdansk 17 3
Krakow Poznan 18 2
Krakow Poznan 20 5
Krakow Poznan 19 1
Krakow Poznan 16 5
Krakow Soncz 9 2
Krakow Soncz 20 3
Krakow Wroclaw 20 4
Krakow Wroclaw 13 1
Krakow Wroclaw 21 4
Warszawa Rzeszow 19 5
Warszawa Rzeszow 10 5
Warszawa Krakow 12 1
Warszawa Krakow 19 1
Warszawa Krakow 17 1
Warszawa Krakow 18 3
Warszawa Gdansk 5 1
Warszawa Gdansk 17 3
Warszawa Poznan 8 5
Warszawa Soncz 13 5
Warszawa Wroclaw 16 5
Gdansk Rzeszow 17 3
Gdansk Rzeszow 16 4
Gdansk Krakow 19 4
Gdansk Warszawa 12 4
Gdansk Warszawa 22 3
Gdansk Warszawa 11 2
Gdansk Poznan 7 3
Gdansk Soncz 21 5
Gdansk Soncz 14 2
Gdansk Soncz 9 5
Gdansk Wroclaw 10 2
Gdansk Wroclaw 5 1
Gdansk Wroclaw 18 3
Gdansk Wroclaw 2 4
Poznan Rzeszow 7 2
Poznan Rzeszow 1 2
Poznan Rzeszow 1 2
Poznan Krakow 22 2
Poznan Warszawa 14 3
Poznan Warszawa 10 1
Poznan Warszawa 23 2
Poznan Warszawa 3 5
Poznan Gdansk 15 3
Poznan Gdansk 12 2
Poznan Soncz 7 4
Poznan Wroclaw 17 5
Poznan Wroclaw 14 5
Soncz Rzeszow 8 2
Soncz Rzeszow 13 3
Soncz Rzeszow 20 1
Soncz Rzeszow 1 1
Soncz Krakow 20 5
Soncz Krakow 16 2
Soncz Krakow 14 3
Soncz Krakow 7 2
Soncz Warszawa 2 4
Soncz Gdansk 8 5
Soncz Gdansk 3 2
Soncz Gdansk 10 3
Soncz Gdansk 19 3
Soncz Poznan 19 5
Soncz Poznan 18 1
Soncz Wroclaw 19 2
Soncz Wroclaw 5 3
Soncz Wroclaw 19 5
Wroclaw Rzeszow 15 5
Wroclaw Krakow 12 4
Wroclaw Krakow 20 5
Wroclaw Krakow 3 5
Wroclaw Krakow 23 1
Wroclaw Warszawa 16 5
Wroclaw Gdansk 13 5
Wroclaw Gdansk 11 1
Wroclaw Gdansk 13 5
Wroclaw Gdansk 8 1
Wroclaw Poznan 1 3
Wroclaw Poznan 9 3
Wroclaw Poznan 7 4
Wroclaw Soncz 15 3
Wroclaw Soncz 4 3
